id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
1588,2,0,Pineapple Punch,0,0,0,Hybrid,0,Flying Dutchmen Seed Company,"Energetic, Uplifted, Creative, Horny, Happy, Dry Mouth","Depression, Stress, Lack of Appetite, Insomnia",Pineapple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1589,2,0,Pineapple Purps,0,0,0,Sativa,0,0,"Relaxed, Creative, Uplifted, Happy, Talkative, Dry Mouth, Anxious","Inflammation, Depression","Pineapple, Sweet, Earthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590,2,0,Pineapple Super Silver Haze,0,0,0,Sativa,0,0,"Happy, Uplifted, Euphoric, Creative, Energetic, Dry Mouth, Anxious, Paranoid","Stress, Depression, Lack of Appetite, Pain","Pineapple, Citrus, Sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1591,2,0,Pinot Green,0,0,0,Sativa,0,0,"Energetic, Happy, Relaxed",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1592,2,0,Poochie Love,0,0,0,Hybrid,0,Archive Seed Bank,"Euphoric, Focused, Creative, Happy, Energetic",,"Earthy, Skunk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1593,2,0,Purple Champagne,0,0,0,Hybrid,0,Grand Daddy Purp,"Uplifted, Focused, Creative, Euphoric, Happy, Dry Mouth","Stress, Pain, Depression","Grape, Earthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1594,2,0,Purple Cow,0,0,0,Sativa,0,0,"Uplifted, Euphoric, Focused",,"Sweet, Berry, Mango",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,2,0,Purple Power,0,0,0,Hybrid,0,Homegrown Fantaseeds,"Happy, Relaxed, Uplifted, Talkative, Energetic, Dry Mouth","Lack of Appetite, Stress, Depression","Earthy, Sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1596,2,0,Purple Tangie,0,0,0,Sativa,0,0,"Happy, Relaxed, Creative, Hungry, Uplifted, Dry Mouth, Paranoid","Depression, Stress, Pain, Lack of Appetite","Citrus, Sweet, Lemon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1597,2,0,Purple Thai,0,0,0,Hybrid,0,DJ Short,"Happy, Relaxed, Uplifted, Euphoric, Energetic, Dry Mouth","Stress, Depression","Earthy, Citrus, Sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1598,2,0,Q3,0,0,0,Sativa,0,0,"Happy, Tingly, Uplifted, Energetic","Pain, Stress, Depression, Insomnia","Citrus, Orange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,2,0,Quantum Kush,0,0,0,Hybrid,0,TGA Seeds,"Happy, Energetic, Uplifted, Euphoric, Relaxed, Dry Mouth, Paranoid, Anxious","Depression, Stress, Lack of Appetite, Pain","Sweet, Earthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,2,0,Rafael,0,0,0,Hybrid,0,Tikun Olam,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,2,0,Raspberry Cough,0,0,0,Hybrid,0,Nirvana,"Happy, Uplifted, Focused, Euphoric, Relaxed, Dry Mouth, Anxious","Stress, Depression, Pain, Nausea","Berry, Sweet, Earthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,2,0,Rebel God Smoke,0,0,0,Hybrid,0,Helping Hands Herbals,"Uplifted, Euphoric, Energetic, Focused, Happy",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,2,0,Red Congolese,0,0,0,Hybrid,0,Reeferman Seeds,"Energetic, Euphoric, Uplifted, Happy, Focused, Dry Mouth, Anxious","Stress, Depression, Pain",Earthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,2,0,Red Headed Stranger,0,0,0,Sativa,0,0,"Focused, Happy, Energetic, Uplifted, Creative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Lack of Appetite","Citrus, Earthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,2,0,Ridge Berry,0,0,0,Sativa,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,2,0,Robert Plant,0,0,0,Hybrid,0,Unknown Breeder,"Uplifted, Energetic, Talkative, Relaxed, Dry Mouth","Depression, Pain, Stress","Sweet, Blueberry, Honey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,2,0,Royal Haze,0,0,0,Hybrid,0,Dinafem Seeds,"Uplifted, Relaxed, Talkative, Happy, Euphoric, Dry Mouth","Depression, Stress, Pain","Skunk, Citrus, Earthy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1608,2,0,Santa Maria,0,0,0,Hybrid,0,Unknown Breeder,"Relaxed, Uplifted, Euphoric, Happy, Hungry, Dry Mouth, Paranoid, Anxious","Depression, Stress, Lack of Appetite, Pain",Earthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1609,2,0,Santa Sativa,0,0,0,Sativa,0,0,"Horny, Sleepy, Talkative, Tingly, Uplifted, Dry Mouth, Paranoid","Lack of Appetite, Nausea, Pain, Stress","Pepper, Blueberry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
